crop_id,harvested_organ,yield_unit,nutrient_id,extraction_kg_per_unit,absorption_kg_per_unit,source,region,year,dataset_version
papaya,fruit,t_ha,N,,1.8,Guerrero_2001_tabla10,andina_colombia,2001,v2
papaya,fruit,t_ha,P,,0.5,Guerrero_2001_tabla10,andina_colombia,2001,v2
papaya,fruit,t_ha,K,,2.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
papaya,fruit,t_ha,Ca,,1.2,Guerrero_2001_tabla10,andina_colombia,2001,v2
papaya,fruit,t_ha,Mg,,0.5,Guerrero_2001_tabla10,andina_colombia,2001,v2
papaya,fruit,t_ha,S,,0.5,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,N,,4,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,P,,0.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,K,,3.3,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,Ca,,1.2,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,Mg,,0.8,Guerrero_2001_tabla10,andina_colombia,2001,v2
lulo,fruit,t_ha,S,,0.7,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,N,,2.7,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,P,,0.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,K,,2.5,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,Ca,,1.2,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,Mg,,0.8,Guerrero_2001_tabla10,andina_colombia,2001,v2
blackberry,fruit,t_ha,S,,0.9,Guerrero_2001_tabla10,andina_colombia,2001,v2
strawberry,fruit,t_ha,N,,2.3,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
strawberry,fruit,t_ha,P,,0.6,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
strawberry,fruit,t_ha,K,,2,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
strawberry,fruit,t_ha,Ca,,1.9,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
strawberry,fruit,t_ha,Mg,,0.4,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
strawberry,fruit,t_ha,S,,0.3,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
kikuyu_grass,dry_forage,t_ha,N,27.8,,INPOFOS_2003_tabla11,andina_colombia,2003,v2
kikuyu_grass,dry_forage,t_ha,P,5.9,,INPOFOS_2003_tabla11,andina_colombia,2003,v2
kikuyu_grass,dry_forage,t_ha,K,29.6,,INPOFOS_2003_tabla11,andina_colombia,2003,v2
tall_fescue,dry_forage,t_ha,N,25,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
tall_fescue,dry_forage,t_ha,P,3,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
tall_fescue,dry_forage,t_ha,K,26,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
tall_fescue,dry_forage,t_ha,Ca,5.6,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
tall_fescue,dry_forage,t_ha,Mg,2.5,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
tall_fescue,dry_forage,t_ha,S,2.5,,IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,N,27,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,P,2.8,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,K,21,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,Ca,12,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,Mg,2.8,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
alfalfa,dry_forage,t_ha,S,3.8,,Bertsch_2003+IFA_1992+IPNI_NorthCentral_USA_2007_tabla11,andina_colombia,2007,v2
